Date: <<2012/12/01 20:57:47>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/01 20:57:47>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 11:33:54>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 11:33:54>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 11:38:48>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 11:38:48>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 11:39:41>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 11:39:41>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 11:40:10>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 11:40:10>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 11:40:59>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 11:40:59>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 11:52:27>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 11:52:27>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 11:52:55>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 11:52:55>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 11:53:16>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 11:53:16>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 11:53:51>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 11:53:51>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 11:54:14>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 11:54:14>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 11:56:37>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 11:56:37>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 11:56:38>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 11:56:38>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 12:27:03>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 12:27:03>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 12:28:18>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
